path_repo,link to repo,func_name,path_buggy,buggy_id,level,Label Arghavan,Final
CodeGen/plib_runnable/gaussian,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/gaussian,gaussian,CodeGen/plib_runnable/gaussian/buggy,buggy_7.py,plib_runnable,Misinterpretation ,Misinterpretation 
CodeGen/self_contained/_dictsum,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/_dictsum,_dictsum,CodeGen/self_contained/_dictsum/buggy,buggy_1.py,self_contained,Misinterpretation ,Misinterpretation 
CodeGen/plib_runnable/build_app_logger,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/build_app_logger,build_app_logger,CodeGen/plib_runnable/build_app_logger/buggy,buggy_2.py,plib_runnable,Redundant Condition/Misinterpretation,Synthax Error/Silly Mistake
CodeGen/plib_runnable/tzname_in_python2,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/tzname_in_python2,tzname_in_python2,CodeGen/plib_runnable/tzname_in_python2/buggy,buggy_6.py,plib_runnable,Misinterpretation ,Incomplete Generation
CodeGen/self_contained/int_to_string,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/int_to_string,int_to_string,CodeGen/self_contained/int_to_string/buggy,buggy_4.py,self_contained,Syntax error,Syntax error
Codex/plib_runnable/load_configurations,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/load_configurations,load_configurations,Codex/plib_runnable/load_configurations/buggy,buggy_8.py,plib_runnable,hallucination,REJECTED
Codex/self_contained/vertex3tuple,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/vertex3tuple,vertex3tuple,Codex/self_contained/vertex3tuple/buggy,buggy_8.py,self_contained,wrong assumption/Prompt-biased code,Prompt-biased code
PanGu-Coder/self_contained/unit_of_work,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/unit_of_work,unit_of_work,PanGu-Coder/self_contained/unit_of_work/buggy,buggy_3.py,self_contained,Failure to generate code,Syntax Error / Failed to Generate
CodeGen/slib_runnable/remove_ending_os_sep,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/remove_ending_os_sep,remove_ending_os_sep,CodeGen/slib_runnable/remove_ending_os_sep/buggy,buggy_8.py,slib_runnable,Redundant Condition,Silly Mistake/Missing Corner Case
Codex/slib_runnable/strip_root,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/strip_root,strip_root,Codex/slib_runnable/strip_root/buggy,buggy_0.py,slib_runnable,,Missing Corner Cases
PanGu-Coder/slib_runnable/make_find_paths,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/make_find_paths,make_find_paths,PanGu-Coder/slib_runnable/make_find_paths/buggy,buggy_1.py,slib_runnable,hallucination,Hallucination
Codex/self_contained/_fromutc,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/_fromutc,_fromutc,Codex/self_contained/_fromutc/buggy,buggy_8.py,self_contained,hallucination,REJECTED
CodeGen/slib_runnable/addignored,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/addignored,addignored,CodeGen/slib_runnable/addignored/buggy,buggy_7.py,slib_runnable,wrong assumption/Wrong Attribute,Misinterpretation 
CodeGen/slib_runnable/regex_dict,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/regex_dict,regex_dict,CodeGen/slib_runnable/regex_dict/buggy,buggy_4.py,slib_runnable,Input Type Mismatch,Wrong Input Type
Codex/plib_runnable/process_text_links,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/process_text_links,process_text_links,Codex/plib_runnable/process_text_links/buggy,buggy_6.py,plib_runnable,Misinterpretation ,Misinterpretation 
PanGu-Coder/self_contained/get,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/get,get,PanGu-Coder/self_contained/get/buggy,buggy_9.py,self_contained,syntax error,syntax error
CodeGen/self_contained/match_pubdate,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/match_pubdate,match_pubdate,CodeGen/self_contained/match_pubdate/buggy,buggy_7.py,self_contained,Misinterpretation ,Misinterpretation / Silly Mistake
CodeGen/slib_runnable/split,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/split,split,CodeGen/slib_runnable/split/buggy,buggy_6.py,slib_runnable,Failure to generate code,Prompt-biased code
PanGu-Coder/slib_runnable/get_repo_archive,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/get_repo_archive,get_repo_archive,PanGu-Coder/slib_runnable/get_repo_archive/buggy,buggy_6.py,slib_runnable,Input Type Mismatch,NPC/Misinterpretation / Wrong Input Type
